Contact Number,First Name,Last Name,Email,Phone Number,Postal Address
1,Mara,Elder,mara.elder@email.com,123456789,Street 1
2,Edward,Parks,edward.parks@gmail.com,111222333,Street 2
3,Pedro,Samara,pedro.samara@email.com,444555666,Street 3
4,Ruben,Polks,ruben.polks@gmail.com,777888999,Street 4
5,Nicolas,Grass,nico.g@email.com,123432543,Street 6
6,Athul,Gokuldas,athul.g@email.com,111000999,Street 7
7,Edard,Hala,edard.h@email.com,678459321,Street 8
8,Amit,Mayer,amit.mayer@email.com,546721821,Street 9
9,Daniela,Martinez,N/A,630821341,N/A
10,James,Bond,james.bond@email.com,N/A,Street 11
11,N/A,N/A,N/A,N/A,N/A
12,Kace,Tang,N/A,776883995,Street 18
13,Lorenzo,Delgado,lore.delga@email.com,N/A,Street 99
